TIC_ID,RA,DEC,Target_Magnitude,Target_Temperature,Target_Radius,Target_Mass,Target_Luminosity,Neighbor_Count,Nearest_Distance_arcsec,Nearest_Magnitude,Brightest_Neighbor_Magnitude,Mean_Neighbor_Magnitude,Total_Neighbor_Flux,Sector,LightCurve_File,Transit_Detected,Detected_Period_days,Transit_Depth,Transit_Duration_hours,Signal_to_Noise,Predicted_Class,Confidence,True_Label
10549228.0,340.179834599234,29.9923689146305,9.20457,6908.0,2.12099,1.505,,3,6.389070685466717,9.66794,9.66794,14.167146666666667,0.0001363260981982642,56,,,,,,,,,
10549301.0,340.167091527108,30.0961308461524,9.85311,7121.0,1.7269,1.584,,0,,,,,,56,,,,,,,,,
10549341.0,340.118227713214,30.1523163446474,13.4736,3537.0,0.307025,0.284649,,1,21.738462184186375,17.1186,17.1186,17.1186,1.4208885023017258e-07,56,,,,,,,,,
10549639.0,340.167087968584,30.546676396061,10.6119,6599.0,1.95689,1.38,,4,4.9104729273308445,18.3514,14.352,18.0025,1.9021618666436058e-06,56,,,,,,,,,
10549657.0,340.249082947904,30.570633177996,10.5567,6821.0,2.20233,1.47,,1,12.725550091592611,13.7372,13.7372,13.7372,3.1997791191994343e-06,56,,,,,,,,,
10549666.0,340.160770642761,30.5765302366389,10.0244,4591.0,13.0714,,,5,8.136577752462603,20.2969,16.0931,18.375759999999996,6.72441813234031e-07,56,,,,,,,,,
10549693.0,340.222956991651,30.6012869166658,10.8607,6168.11,1.35179,1.18,,2,20.969037635147544,17.4793,17.4793,17.8921,1.4957231796766221e-07,56,,,,,,,,,
10549695.0,340.155606538808,30.604653497239,11.7621,4167.0,22.6432,,,2,7.620966566547168,17.8712,17.8712,18.948300000000003,8.081156116398271e-08,56,,,,,,,,,
10549728.0,340.111779325693,30.6448184693986,9.5397,4572.0,12.426,,,2,5.729599419347068,15.289,15.289,16.5416,8.42566146025305e-07,56,,,,,,,,,
10549820.0,340.236667565554,30.7474204719803,10.346,4712.0,8.05547,,,2,20.31693772737772,19.5824,17.4171,18.49975,1.2262504518214287e-07,56,,,,,,,,,
10549992.0,340.212264942541,30.9763228334066,9.7709,6906.0,1.97905,1.5,,1,27.9513961362677,14.9098,14.9098,14.9098,1.08662576904622e-06,56,,,,,,,,,
10550012.0,340.17478811374,30.9970300663279,10.0755,6452.36,1.70453,1.31,,1,12.026504002057079,19.4808,19.4808,19.4808,1.6131694916048365e-08,56,,,,,,,,,
10550208.0,340.188920812093,31.2554932415343,10.9246,4913.0,9.12157,,,5,6.142214374305975,16.774,13.5911,17.48396,3.937062707708233e-06,56,,,,,,,,,
10550261.0,340.118635818447,31.3195656364133,7.3319,4596.0,16.929,,,3,14.36304002139889,18.8047,17.8445,18.422233333333335,1.3860785775556382e-07,56,,,,,,,,,
10550307.0,340.209237627454,31.3781654213777,11.2946,5876.0,1.99492,1.06,,2,9.180250823484323,15.9284,15.9284,16.6948,5.288840008012291e-07,56,,,,,,,,,
10550319.0,340.194444722845,31.3905492939385,10.6727,4407.27,10.1557,,,2,13.502491883130189,19.5844,17.503,18.5437,1.1438765073860752e-07,56,,,,,,,,,
10550357.0,340.119265328321,31.4453601308124,11.1618,6030.0,1.43246,1.12,,1,10.74346864192891,16.4644,16.4644,16.4644,2.5956133548038034e-07,56,,,,,,,,,
10550462.0,340.167344004525,31.5434330537847,8.2625,4131.0,30.8839,,,2,13.150396017563573,14.473,14.473,15.664950000000001,1.805617643560949e-06,56,,,,,,,,,
10550464.0,340.198147118293,31.544469383558,9.6453,4135.0,20.8658,,,1,28.703985361299083,19.408,19.408,19.408,1.7250432972458388e-08,56,,,,,,,,,
10550473.0,340.251608398486,31.5614426329262,13.9883,3199.0,0.274445,0.247753,,2,21.04681435587378,17.3013,17.3013,18.391750000000002,1.3619348451212701e-07,56,,,,,,,,,
10550659.0,340.201007383461,31.7941630464462,8.083,6436.0,1.29495,1.3,,4,10.095905067778554,17.4394,15.9711,17.236525,6.780723168143894e-07,56,,,,,,,,,
10550876.0,340.129354332352,32.0412652837001,9.8367,6296.0,2.42189,1.23,,3,15.71654779063526,19.2262,18.19,19.189300000000003,8.205717956941949e-08,56,,,,,,,,,
10551025.0,340.171088750702,32.2524341740502,10.0559,4812.15,7.78327,,,4,6.126397140901554,19.6831,18.963,19.831425000000003,5.441289980871056e-08,56,,,,,,,,,
10551039.0,340.233140938459,32.2746123055381,10.2558,4012.77,30.2007,,,6,14.78936182813922,18.125,15.3239,18.53865,8.706158519593607e-07,56,,,,,,,,,
10551067.0,340.124112709291,32.3202729963868,11.8673,5294.56,0.832432,0.91,,2,13.026075949728193,20.7244,16.088,18.4062,3.7224464848787936e-07,56,,,,,,,,,
10551106.0,340.188205788431,32.3637672498662,10.8386,4880.67,10.9206,,,2,17.75337732554395,11.5169,11.5169,14.035,2.497010383011832e-05,56,,,,,,,,,
10551129.0,340.21177615657,32.3899485579102,8.6576,3950.0,48.1242,,,3,8.956921507302916,14.5138,14.5138,17.114966666666664,1.6820068919592903e-06,56,,,,,,,,,
